Entity Display Name,Entity Logical Name,Logical Name,Schema Name,Display Name,Attribute Type,Description,Custom Attribute,Type,Required Level,Additional data,,
Factor library,msdyn_calculationlibrary,msdyn_description,msdyn_description,Description,Text,Optional description that provides additional detail about the entity or attribute.,True,Simple,None,"Format: Text
Max length: 500",,
Factor library,msdyn_calculationlibrary,msdyn_documentationreference,msdyn_documentationreference,Documentation reference,Text,The documentation reference for the factor library.,True,Simple,None,"Format: Text
Max length: 255",,
Factor library,msdyn_calculationlibrary,msdyn_librarytype,msdyn_librarytype,Library type,Choice,Factor library type: estimation or emission.,True,Simple,ApplicationRequired,"Options:
192350000: Emission factor library
192350001: Estimation factor library
Default: N/A",,
Factor library,msdyn_calculationlibrary,msdyn_librarytypename,msdyn_librarytypeName,N/A,Virtual,N/A,True,Simple,None,,,
Factor library,msdyn_calculationlibrary,msdyn_name,msdyn_name,Name,Text,The name of the custom entity.,True,Simple,ApplicationRequired,"Format: Text
Max length: 200",,
Factor library,msdyn_calculationlibrary,msdyn_origincorrelationid,msdyn_origincorrelationid,Origin correlation ID,Text,An optional identifier to correlate record with data origin.,True,Simple,None,"Format: Text
Max length: 100",,
Factor library,msdyn_calculationlibrary,msdyn_sustainabilitymodule,msdyn_sustainabilitymodule,Module,Lookup,Module to which this factor library belongs to.,True,Simple,ApplicationRequired,"Targets:
msdyn_sustainabilitymodule",,
Factor library,msdyn_calculationlibrary,msdyn_sustainabilitymodulename,msdyn_sustainabilitymoduleName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 100",,
Factor library,msdyn_calculationlibrary,msdyn_type,msdyn_type,Type,Choice,Strings indicating the type of factor library,True,Simple,None,"Options:
700610000: Custom
700610001: Demo
700610002: Standard
700610003: Value chain
Default: 700610000",,
Factor library,msdyn_calculationlibrary,msdyn_typename,msdyn_typeName,N/A,Virtual,N/A,True,Simple,None,,,
Factor library,msdyn_calculationlibrary,msdyn_version,msdyn_version,Version,Text,The version of the library.,True,Simple,None,"Format: Text
Max length: 100",,
Factor library,msdyn_calculationlibrary,msdyn_year,msdyn_year,Year,Text,The year of the library.,True,Simple,None,"Format: Text
Max length: 100",,
Capital good,msdyn_capitalgood,msdyn_accountid,msdyn_accountid,Account,Lookup,Account,True,Simple,None,"Targets:
account",,
Capital good,msdyn_capitalgood,msdyn_accountidname,msdyn_accountidName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 160",,
Capital good,msdyn_capitalgood,msdyn_accountidyominame,msdyn_accountidYomiName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 160",,
Capital good,msdyn_capitalgood,msdyn_approvalstatus,msdyn_approvalstatus,Approval status,Choice,Indicator of approval of MSM entity.,True,Simple,None,"Options:
700610000: Pending
700610001: Approved
Default: N/A",,
Capital good,msdyn_capitalgood,msdyn_approvalstatusname,msdyn_approvalstatusName,N/A,Virtual,N/A,True,Simple,None,,,
Capital good,msdyn_capitalgood,msdyn_capitalgoodid,msdyn_capitalgoodId,Capital good,Uniqueidentifier,Unique identifier for entity instances,False,Simple,SystemRequired,,,
