TITLE: Bill of Materials
BOM NO: 05-046277-01-d2.csv
DATE: 09/30/2019
DESIGN: 02_046277d_top
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom
CALLOUT: C:\tmp\20_046277d\worklib\02_046277d_top\bom\bom.callouts

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
102,1,E019883,RES STD THICK FILM CHIP," 2.87K",R0402,1,N/A,1/16W,R43,VISHAY," CRCW04022K87FKED",REL,N/A,N/A,N/A,N/A,N/A,?,?
103,1,E020773,RES PRECISION THICK FILM CHIP," 412K",R0402,1,N/A,1/10W,R430,PANASONIC," ERJ-2RKF4123X",REL,N/A,N/A,N/A,N/A,N/A,?,?
104,1,E022825,RES THICK FILM CHIP," 110K",R0402,5,N/A,1/10W,R434,PANASONIC," ERJ-2GEJ114X",REL,N/A,N/A,N/A,N/A,N/A,?,?
105,2,E021391,RES THICK FILM CHIP," 62K",R0402,1,N/A,1/16W,"R74,R436",YAGEO," RC0402FR-0762KL",REL,N/A,N/A,N/A,N/A,N/A,?,?
106,1,E003782,RES PRECISION THICK FILM CHIP," 1.5K",R0402,1,N/A,1/16W,R437,PANASONIC," ERJ-2RKF1501X",REL,A003-0035-039,41816DG1293,N/A,N/A,N/A,?,?
107,1,E003680,RES PRECISION THICK FILM CHIP R0603," 6.98K",R0603,1,N/A,1/10W,R44,PANASONIC," ERJ-3EKF6981V",REL,A003-0032-015,41816DG288,N/A,N/A,7008180,?,?
108,1,E003930,RES FILM SMD 0603," 1.15K",R0603,1,N/A,1/10W,R45,DALE," CRCW0603-1151FRT1",REL,A003-0062-007,41816DG795,N/A,NS_ENG,7005481,?,?
109,1,E018094,RES PRECISION THICK FILM CHIP," 5.9K",R0402,1,N/A,1/10W,R46,PANASONIC," ERJ-2RKF5901X",REL,N/A,N/A,N/A,N/A,7007885,?,?
110,2,E010034,RES PRECISION THICK FILM CHIP," 3.3K",R0402,1,50V,1/10W,"R53,R62",PANASONIC," ERJ-2RKF3301X",REL,N/A,N/A,N/A,N/A,7007123,?,?
111,1,E024557,RES GEN PURPOSE THICK FILM CHIP," 24.3K",R0402,1,N/A,1/16W,R56,"STACKPOLE ELECTRONICS, INC."," RMCF0402FT24K3",REL,N/A,N/A,N/A,N/A,N/A,?,?
112,1,E010032,RES PRECISION THICK FILM CHIP," 9.53K",R0402,1,50V,1/16W,R57,PANASONIC," ERJ-2RKF9531X",REL,N/A,N/A,N/A,N/A,7008517,?,?
113,1,E006343,RES PRECISION THICK FILM CHIP," 95.3K",R0402,1,N/A,1/16W,R58,PANASONIC," ERJ-2RKF9532X",REL,ADD_TO_STOCK434,41816JH1212,N/A,N/A,N/A,?,?
